party1,currency_pair,before_trade_count,before_total_notional,before_avg_notional,before_avg_rate,after_trade_count,after_total_notional,after_avg_notional,after_avg_rate,notional_change_pct,rate_sensitivity,trade_count_change
ATLAS FX6 Ltd,INR/GBP,1000,13041856442.0,13041856.442,1.4280268,800,10426158982.0,13032698.7275,1.4284932499999998,-20.056174300281416,0.0004664499999997851,-200
ATLAS FX6 Ltd,JPY/USD,400,8586568364.0,21466420.91,165.679437,1000,21778921904.0,21778921.904,164.4102715,153.63941659522783,-1.269165500000014,600
BARX FX5 Ltd,EUR/GBP,400,3243702210.0,8109255.525,2.269532,1000,7968178004.0,7968178.004,2.2780277,145.65072525569477,0.008495700000000106,600
BARX FX5 Ltd,JPY/USD,1000,8007822854.0,8007822.854,1.5111763,800,6380481824.0,7975602.28,1.4990252499999999,-20.321890976735634,-0.012151050000000163,-200
CANDRIM FX7 Ltd,CAN/USD,1000,5040587246.0,5040587.246,1.0975253,800,4010851556.0,5013564.445,1.100354,-20.42888337697468,0.0028287000000000173,-200
CANDRIM FX7 Ltd,MEX/USD,400,2007094997.0,5017737.4925,2.1004025,1000,5001360908.0,5001360.908,2.1046378,149.18406530211684,0.004235299999999942,600
Global FX3 Ltd,EUR/USD,1000,5913043175.0,5913043.175,1.0852518,800,4750527633.0,5938159.54125,1.08540425,-19.66019032154285,0.0001524500000000817,-200
Global FX3 Ltd,USD/JPY,400,2246678143.0,5616695.3575,144.8787505,1000,5557222770.0,5557222.77,145.0957604,147.35286571041343,0.21700989999999365,600
Global FX4 Ltd,GBP/USD,1000,5026262372.0,5026262.372,1.2499174,800,3940212562.0,4925265.7025,1.249586625,-21.607503341849025,-0.00033077499999989435,-200
Global FX4 Ltd,USD/CNH,400,3024731396.0,7561828.49,7.20119725,1000,7494535169.0,7494535.169,7.2006924,147.7752298571374,-0.000504849999999557,600
