party1,currency_pair,before_trade_count,before_total_notional,before_avg_notional,before_avg_rate,after_trade_count,after_total_notional,after_avg_notional,after_avg_rate,notional_change_pct,rate_sensitivity,trade_count_change
AlphaBank,EUR/USD,29,86475674.0,2981919.793103448,0.009999999999999998,40,139467597.6,3486689.94,0.015,61.27957279639127,0.005000000000000001,11
AlphaBank,USD/CNH,26,88954795.0,3421338.269230769,0.01,39,146988462.0,3768934.923076923,0.015,65.23950395254128,0.004999999999999999,13
AlphaBank,USD/MXN,46,124726324.0,2711441.8260869565,0.01,43,167250531.6,3889547.246511628,0.015000000000000001,34.09401178214792,0.005000000000000001,-3
BetaInvest,EUR/USD,35,103458823.0,2955966.3714285716,0.01,30,104449754.4,3481658.48,0.014999999999999998,0.9578026999205337,0.0049999999999999975,-5
BetaInvest,USD/CNH,42,132054716.0,3144159.904761905,0.01,42,146783236.8,3494838.9714285717,0.015,11.153347071678994,0.004999999999999999,0
BetaInvest,USD/MXN,40,120123830.0,3003095.75,0.01,42,148324040.4,3531524.7714285715,0.015,23.47595010914987,0.004999999999999999,2
DeltaCorp,EUR/USD,48,140368944.0,2924353.0,0.01,52,194509539.6,3740568.0692307693,0.015000000000000001,38.57020937622783,0.005000000000000001,4
DeltaCorp,USD/CNH,51,152321248.0,2986691.137254902,0.01,43,145018790.4,3372530.0093023255,0.015000000000000001,-4.794116182661525,0.005000000000000001,-8
DeltaCorp,USD/MXN,56,167446965.0,2990124.375,0.01,44,163052024.4,3705727.8272727276,0.014999999999999998,-2.6246761773197824,0.0049999999999999975,-12
GammaFinance,EUR/USD,54,153508397.0,2842748.092592593,0.01,39,127907626.8,3279682.738461538,0.015,-16.67711389104011,0.004999999999999999,-15
GammaFinance,USD/CNH,43,125538101.0,2919490.7209302327,0.01,41,142116921.6,3466266.3804878048,0.015,13.20620629748095,0.004999999999999999,-2
GammaFinance,USD/MXN,30,94606372.0,3153545.7333333334,0.01,45,178766994.0,3972599.8666666667,0.014999999999999998,88.95872468294208,0.0049999999999999975,15
